SampleID,Compound,Replicate,Concentration,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
DMSO_A04,DMSO,1,0.0,0.023224043715846996,0.2978142076502732,0.09016393442622951,0.34562841530054644,0.16256830601092895,0.08060109289617487
DMSO_A12,DMSO,1,0.0,0.0843558282208589,0.254601226993865,0.0736196319018405,0.3266871165644172,0.16717791411042945,0.09355828220858896
DMSO_B12,DMSO,1,0.0,0.006363636363636364,0.2972727272727273,0.07454545454545454,0.3881818181818182,0.1618181818181818,0.07181818181818182
DMSO_B20,DMSO,1,0.0,0.15959252971137522,0.2920203735144312,0.13242784380305603,0.2461799660441426,0.08488964346349745,0.08488964346349745
DMSO_C04,DMSO,1,0.0,0.014705882352941176,0.28342245989304815,0.0748663101604278,0.32219251336898397,0.22058823529411764,0.08422459893048129
DMSO_D12,DMSO,1,0.0,0.033950617283950615,0.2638888888888889,0.040123456790123455,0.4104938271604938,0.19135802469135801,0.06018518518518518
DMSO_D20,DMSO,1,0.0,0.06789250353606789,0.3048090523338048,0.08132956152758133,0.3161244695898161,0.15134370579915135,0.0785007072135785
DMSO_E04,DMSO,1,0.0,0.06016042780748663,0.2660427807486631,0.09893048128342247,0.3382352941176471,0.17245989304812834,0.06417112299465241
DMSO_E20,DMSO,1,0.0,0.041176470588235294,0.3220588235294118,0.08823529411764706,0.2661764705882353,0.19264705882352942,0.08970588235294118
DMSO_F12,DMSO,1,0.0,0.1307471264367816,0.2413793103448276,0.1235632183908046,0.21551724137931033,0.06896551724137931,0.21982758620689655
DMSO_F20,DMSO,1,0.0,0.2902155887230514,0.22553897180762852,0.12106135986733002,0.22553897180762852,0.08291873963515754,0.05472636815920398
DMSO_G04,DMSO,1,0.0,0.15895061728395063,0.2978395061728395,0.06172839506172839,0.30864197530864196,0.13734567901234568,0.035493827160493825
DMSO_G12,DMSO,1,0.0,0.14694656488549618,0.3148854961832061,0.12786259541984732,0.23091603053435114,0.11259541984732824,0.06679389312977099
DMSO_H03,DMSO,1,0.0,0.027202072538860103,0.3588082901554404,0.13860103626943004,0.3134715025906736,0.12046632124352331,0.04145077720207254
DMSO_H05,DMSO,1,0.0,0.06352833638025594,0.3446069469835466,0.07906764168190128,0.29341864716636196,0.1156307129798903,0.10374771480804387
DMSO_H07,DMSO,1,0.0,0.15758468335787923,0.2916053019145803,0.0780559646539028,0.20913107511045656,0.09131075110456553,0.1723122238586156
DMSO_H08,DMSO,1,0.0,0.14859437751004015,0.26907630522088355,0.08299866131191433,0.32262382864792505,0.12182061579651941,0.05488621151271754
DMSO_H09,DMSO,1,0.0,0.056878306878306875,0.3425925925925926,0.10317460317460317,0.28174603174603174,0.13756613756613756,0.07804232804232804
DMSO_H11,DMSO,1,0.0,0.09497964721845319,0.27544097693351427,0.1248303934871099,0.2591587516960651,0.1614654002713704,0.08412483039348712
DMSO_H12,DMSO,1,0.0,0.02556390977443609,0.3218045112781955,0.07368421052631578,0.3233082706766917,0.1443609022556391,0.11127819548872181
DMSO_H13,DMSO,1,0.0,0.07386363636363637,0.3087121212121212,0.10227272727272728,0.3125,0.10227272727272728,0.10037878787878787
DMSO_H15,DMSO,1,0.0,0.22296173044925124,0.2928452579034942,0.09983361064891846,0.22795341098169716,0.11148086522462562,0.04492512479201331
DMSO_H19,DMSO,1,0.0,0.010638297872340425,0.3351063829787234,0.06560283687943262,0.3528368794326241,0.1453900709219858,0.09042553191489362
DMSO_H24,DMSO,1,0.0,0.030744336569579287,0.34061488673139156,0.0744336569579288,0.35760517799352753,0.13673139158576053,0.059870550161812294
DMSO_I04,DMSO,1,0.0,0.058925476603119586,0.3830155979202773,0.10571923743500866,0.29636048526863085,0.08665511265164645,0.06932409012131716
DMSO_J04,DMSO,1,0.0,0.06299212598425197,0.2929133858267717,0.08661417322834646,0.29763779527559053,0.15905511811023623,0.10078740157480315
DMSO_J12,DMSO,1,0.0,0.12834224598930483,0.303475935828877,0.1751336898395722,0.2580213903743315,0.10828877005347594,0.026737967914438502
DMSO_J20,DMSO,1,0.0,0.03143418467583497,0.31335952848722987,0.07956777996070727,0.2784872298624754,0.13948919449901767,0.15766208251473476
DMSO_K04,DMSO,1,0.0,0.016107382550335572,0.3046979865771812,0.07516778523489932,0.33691275167785234,0.1959731543624161,0.07114093959731543
DMSO_L12,DMSO,1,0.0,0.031506849315068496,0.3917808219178082,0.1232876712328767,0.2671232876712329,0.13150684931506848,0.0547945205479452
DMSO_M20,DMSO,1,0.0,0.006329113924050633,0.3459915611814346,0.08438818565400844,0.339662447257384,0.10337552742616034,0.12025316455696203
DMSO_N04,DMSO,1,0.0,0.034482758620689655,0.36990595611285265,0.08934169278996865,0.26332288401253917,0.12695924764890282,0.11598746081504702
DMSO_O04,DMSO,1,0.0,0.01834862385321101,0.3165137614678899,0.09174311926605505,0.42201834862385323,0.08027522935779817,0.07110091743119266
DMSO_O20,DMSO,1,0.0,0.006944444444444444,0.44212962962962965,0.09490740740740741,0.28935185185185186,0.09027777777777778,0.0763888888888889
